"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X251","0.00024707284719766","0.00112679883286465","0.000206792322416843","0.000223437994082096","0.136950597953219","0.624576013447361","0.114623409768962","0.123849978830457","0.162839130838278"
"X252","0.412147412809263","1.84596422225843","0.442929294461037","0.318591149926141","0.13648928146361","0.611320907211874","0.14668319941183","0.105506611912686","0.164074571640367"
"X253","0.730227309234785","1.80153088787521","14.625056440081","4.01321601808814","0.0344934460004048","0.0850981709573465","0.690837754475994","0.189570628566254","0.0835068899974082"
"X254","7.55429333574126","35.8943990463611","7.58049344928856","7.14166568793229","0.129863894690142","0.617051291305882","0.130314294037289","0.122770519966688","0.156222206789158"
"X255","2.56792704691911e-07","9.95511193143563e-07","1.65472925091803e-07","2.46729242507187e-07","0.154275619671523","0.598082045969426","0.0994126296851984","0.148229704673853","0.184782219853183"
"X256","2.56783183926044e-07","9.95535031086251e-07","1.65338350793762e-07","2.46857564304767e-07","0.154269152349549","0.598093469485878","0.099331299027635","0.148306079136938","0.184773742436663"
"X257","2.56783183926044e-07","9.95535031086251e-07","1.65338350793762e-07","2.46857564304767e-07","0.154269152349549","0.598093469485878","0.099331299027635","0.148306079136938","0.184773742436663"
"X258","3.39260717721792","24.310263176993","34.401791817408","19.4312836850793","0.0416087302547581","0.298153935930528","0.421921784998608","0.238315548816106","0.0743223030688605"
"X259","1814.79484864118","2491.21354946694","237.658400743131","1655.42977072507","0.29275150471889","0.401867194922115","0.038337586465341","0.267043713893654","0.367587797855749"
"X260","1702.43467482447","2824.43389687512","195.92863994872","1759.03602979342","0.262647095568568","0.435746152618837","0.0302273496787986","0.271379402133796","0.328749051239016"
"X261","1.26745554277305","9.76931592482974","18.8718945491123","6.39348059699082","0.0349140659989104","0.269111246472167","0.51985616029624","0.176118527232683","0.0651361321416725"
"X262","0.265854444140781","2.00410032887687","4.74517597939579","1.41644525435725","0.0315308127362305","0.237689884698607","0.562786361124579","0.167992941440583","0.0614858898909859"
"X263","1e-10","1.75280779239829e-06","4.59575340988738e-06","1.38913752410072e-06","1.29235721341515e-05","0.226525379423621","0.593935507034522","0.179526189969723","2.66818117108142e-05"
"X264","3034.26892573293","3227.60603411834","171.36647952326","3066.52342971702","0.319404634487874","0.339756412773929","0.0180390232689672","0.32279992946923","0.413322163355617"
"X265","3034.26892573293","3227.60603411834","171.36647952326","3066.52342971702","0.319404634487874","0.339756412773929","0.0180390232689672","0.32279992946923","0.413322163355617"
"X266","0.269431200859108","1.00587594062513","0.192413582944481","0.270212890417008","0.155029627459634","0.578776963649684","0.110714000408791","0.155479408481891","0.188477223954826"
"X267","270.614826655107","1875.8558597344","8.94513438861632","357.590729604569","0.107685682957689","0.746458802285548","0.00355953484771224","0.142295979909051","0.119284556557138"
"X268","279.356726236857","1906.11536831913","2.6652510082077","377.294613496253","0.108892666301377","0.742999774984177","0.00103890925611756","0.147068649458328","0.120822481481398"
"X269","1093.70574924954","7549.48902914083","39.9805659822104","1445.5124981114","0.107980990850767","0.745357063673647","0.00394726015886432","0.142714685316721","0.119682946721742"
"X270","1827.56299055113","1563.43067798006","54.4684227996473","1791.87928941082","0.348948609168633","0.298516091337675","0.0104000138314326","0.34213528566226","0.456156005079716"
"X271","1860.26173764588","1676.79008270453","57.323610658072","1823.87225966334","0.34333272376022","0.309470917247163","0.0105797324025555","0.336616626590062","0.446736171990484"
"X272","876.893555623666","920.465997707976","399.464193766157","682.525806307445","0.304545710536122","0.319678448425754","0.138734178104125","0.237041662933998","0.406341175078479"
"X273","31.7866094181904","139.972992797127","1.04295144560245","18.6640924186653","0.166016431942815","0.731056795860652","0.0054471703921159","0.0974796018044175","0.178247383858145"
"X274","41.5152751347138","128.611606819583","0.00387623297831582","20.1298344214506","0.218202175056244","0.6759760655433","2.03732834275743e-05","0.105801386117029","0.234764288419545"
"X275","73.0034151702535","261.946442062361","2.79499804925988","83.0908056777969","0.173472502315457","0.622443548308192","0.00664154278866525","0.197442406587686","0.200791365573381"
"X276","439.460956956198","60.0471555537303","39.8276340276516","387.386675325413","0.474209910744091","0.0647951901638652","0.0429768753707135","0.41801802372133","0.684611524519504"
"X277","428.502912232508","69.9596087913572","67.0060046603434","357.850950879836","0.464089541170624","0.075769666477413","0.0725707692311369","0.387570023120826","0.669450543531233"
